video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S
Try This Very Delicious Nigerian Street Food Today,2023-05-04 14:03:43+00:00,400,5,1,2024-08-21 23:37:11.673650+00:00,0,4,40
I Miss Eating This Delicious Fried Yam,2023-04-14 18:39:32+00:00,314,5,3,2024-08-21 23:37:12.368863+00:00,0,2,12
How To Make Nigerian Most Popular Street Food,2023-02-19 12:00:08+00:00,473,7,0,2024-08-21 23:37:13.119659+00:00,0,2,12
Roasted Fish Yam And Plantain Street Food Cooking Show,2023-02-17 12:00:30+00:00,191,2,0,2024-08-21 23:37:13.853829+00:00,0,0,43
Very Sweet Mega Bite,2023-02-15 12:00:04+00:00,44,1,0,2024-08-21 23:37:14.548388+00:00,0,0,52
How To Make A Very Delicious Caribbean Sausage Rolls,2023-02-13 12:00:39+00:00,74,1,0,2024-08-21 23:37:15.325778+00:00,0,4,19
How to Make Very Delicious Chicken Bandeli,2023-02-11 12:00:35+00:00,28,0,0,2024-08-21 23:37:16.019442+00:00,0,4,39
How To Make Tasty Nigerian Meat Pie Recipe,2023-02-09 12:00:06+00:00,68,3,0,2024-08-21 23:37:16.728464+00:00,0,1,30
Vegetable Desserts - Delicious and Yummy,2023-02-08 22:14:31+00:00,59,0,0,2024-08-21 23:37:17.516238+00:00,0,5,42
Very Sweet Traditional Food In Yenagoa Nigeria,2023-02-01 12:00:22+00:00,774,10,1,2024-08-21 23:37:18.267839+00:00,0,7,45
Raw Street Food Footage In Benin City Nigeria,2023-01-28 12:00:32+00:00,21087,133,6,2024-08-21 23:37:18.964477+00:00,0,8,13
Street Food Dishes Benin City Nigeria,2023-01-23 22:40:35+00:00,9381,82,4,2024-08-21 23:37:19.700168+00:00,0,7,16
A Very Sweet Nigerian Soup Egusi Soup,2023-01-18 20:00:10+00:00,216,3,0,2024-08-21 23:37:20.484136+00:00,0,3,2
Very Sweet Fried Burns Nigerian Street Food Video,2023-01-18 18:00:08+00:00,393,6,1,2024-08-21 23:37:21.220270+00:00,0,3,32
This Cake Is Very Delicious Nigerian Beans Cake,2023-01-18 14:00:07+00:00,17202,91,4,2024-08-21 23:37:21.948184+00:00,0,2,31
Try This Roasted Fish In Port Harcourt Nigeria,2023-01-18 12:00:09+00:00,123,0,0,2024-08-21 23:37:22.699611+00:00,0,4,8
I found Sweet Suya On Nigerian Street Food,2023-01-17 16:38:12+00:00,2978,30,1,2024-08-21 23:37:23.411479+00:00,0,2,36
"""How to Make the Best Shawarma, Nigerian Street Food Recipe""",2023-01-17 16:35:30+00:00,1784,18,3,2024-08-21 23:37:24.108720+00:00,0,6,8
Have A Taste of Nigerian Suya - how to make delicious Nigerian Suya,2023-01-17 16:31:28+00:00,7328,32,0,2024-08-21 23:37:24.865926+00:00,0,1,28
Street Food Around the World: The Best Street Food in Nigeria,2023-01-05 22:33:44+00:00,4913,601,0,2024-08-21 23:37:25.577503+00:00,0,2,12
Exploring Street Food in Nigeria  | Street Food Tour Port Harcourt,2023-01-05 22:22:04+00:00,535,4,1,2024-08-21 23:37:26.288419+00:00,0,1,10
Very Sweet Shawarma Street Food,2022-12-30 22:59:53+00:00,91,4,0,2024-08-21 23:37:26.996858+00:00,0,3,7
